time,participant,order,category
0:08:32,participant13,1,0
0:08:33,participant13,1,0
0:08:35,participant13,1,0
0:08:37,participant13,1,0
0:08:38,participant13,1,0
0:08:40,participant13,1,0
0:08:42,participant13,1,0
0:08:44,participant13,1,0
0:08:47,participant13,1,0
0:08:48,participant13,1,0
0:08:50,participant13,1,0
0:08:56,participant13,1,0
0:08:57,participant13,1,0
0:08:59,participant13,1,0
0:09:01,participant13,1,0
0:09:04,participant13,1,0
0:09:06,participant13,1,0
0:09:10,participant13,1,0
0:09:12,participant13,1,0
0:09:12,participant13,1,0
0:09:14,participant13,1,0
0:09:16,participant13,1,0
0:09:18,participant13,1,0
0:09:19,participant13,1,0
0:09:23,participant13,1,0
0:09:29,participant13,1,1
0:09:30,participant13,1,1
0:09:31,participant13,1,0
0:09:33,participant13,1,0
0:09:34,participant13,1,0
0:09:38,participant13,1,0
0:09:39,participant13,1,0
0:09:40,participant13,1,0
0:09:42,participant13,1,0
0:09:49,participant13,1,0
0:09:57,participant13,1,0
0:09:57,participant13,1,0
0:00:06,participant13,2,0
0:00:08,participant13,2,0
0:00:09,participant13,2,0
0:00:13,participant13,2,0
0:00:15,participant13,2,0
0:00:17,participant13,2,0
0:00:19,participant13,2,0
0:00:20,participant13,2,0
0:00:22,participant13,2,0
0:00:25,participant13,2,0
0:00:26,participant13,2,0
0:00:28,participant13,2,0
0:00:29,participant13,2,0
0:00:31,participant13,2,0
0:00:34,participant13,2,0
0:00:35,participant13,2,0
0:00:37,participant13,2,0
0:00:40,participant13,2,0
0:00:41,participant13,2,0
0:00:42,participant13,2,0
0:00:43,participant13,2,0
0:00:44,participant13,2,0
0:00:46,participant13,2,0
0:00:49,participant13,2,0
0:00:54,participant13,2,0
0:00:56,participant13,2,0
0:00:57,participant13,2,0
0:00:59,participant13,2,0
0:01:00,participant13,2,0
0:01:02,participant13,2,0
0:01:03,participant13,2,0
0:01:04,participant13,2,0
0:01:09,participant13,2,0
0:01:12,participant13,2,0
0:01:14,participant13,2,0
0:01:14,participant13,2,0
0:01:16,participant13,2,0
0:01:18,participant13,2,0
0:01:20,participant13,2,0
0:01:20,participant13,2,0
0:01:22,participant13,2,0
0:01:24,participant13,2,0
0:01:26,participant13,2,0
0:01:31,participant13,2,0
0:01:32,participant13,2,0
0:01:42,participant13,2,0
0:01:43,participant13,2,0
0:01:44,participant13,2,0
0:01:45,participant13,2,0
0:01:46,participant13,2,0
0:01:47,participant13,2,0
0:01:49,participant13,2,0
0:01:56,participant13,2,0
0:02:00,participant13,2,0
0:02:03,participant13,2,0
0:02:04,participant13,2,0
0:02:05,participant13,2,0
0:02:06,participant13,2,0
0:02:09,participant13,2,0
0:02:11,participant13,2,0
0:02:20,participant13,2,0
0:02:22,participant13,2,0
0:02:25,participant13,2,0
0:02:29,participant13,2,0
0:02:35,participant13,2,0
0:02:38,participant13,2,0
0:02:40,participant13,2,0
0:02:42,participant13,2,0
0:02:43,participant13,2,0
0:02:45,participant13,2,0
0:02:45,participant13,2,0
0:02:46,participant13,2,0
0:02:50,participant13,2,0
0:02:52,participant13,2,0
0:02:54,participant13,2,0
0:02:59,participant13,2,0
0:03:00,participant13,2,0
0:03:01,participant13,2,1
0:03:04,participant13,2,0
0:03:06,participant13,2,0
0:03:07,participant13,2,0
0:03:09,participant13,2,0
0:03:12,participant13,2,0
0:03:13,participant13,2,0
0:03:21,participant13,2,0
0:03:22,participant13,2,0
0:03:23,participant13,2,0
0:03:24,participant13,2,0
0:03:24,participant13,2,0
0:03:27,participant13,2,0
0:03:28,participant13,2,0
0:03:29,participant13,2,0
0:03:31,participant13,2,0
0:03:31,participant13,2,0
0:03:33,participant13,2,0
0:03:35,participant13,2,0
0:03:41,participant13,2,0
0:03:42,participant13,2,0
0:03:44,participant13,2,0
0:03:50,participant13,2,0
0:03:51,participant13,2,0
0:03:55,participant13,2,0
0:03:57,participant13,2,0
0:04:01,participant13,2,0
0:04:01,participant13,2,0
0:04:06,participant13,2,0
0:04:14,participant13,2,0
0:04:15,participant13,2,0
0:04:28,participant13,2,0
0:04:29,participant13,2,0
0:04:31,participant13,2,0
0:04:33,participant13,2,0
0:04:34,participant13,2,0
0:04:39,participant13,2,0
0:04:42,participant13,2,0
0:04:43,participant13,2,0
0:05:07,participant13,2,0
0:05:09,participant13,2,0
0:05:12,participant13,2,0
0:05:14,participant13,2,0
0:05:15,participant13,2,0
0:05:18,participant13,2,0
0:05:19,participant13,2,0
0:05:21,participant13,2,0
0:05:22,participant13,2,0
0:05:24,participant13,2,0
0:05:27,participant13,2,0
0:05:30,participant13,2,0
0:05:36,participant13,2,0
0:05:43,participant13,2,0
0:05:45,participant13,2,0
0:05:47,participant13,2,0
0:05:49,participant13,2,0
0:05:51,participant13,2,0
0:05:52,participant13,2,0
0:05:55,participant13,2,0
0:05:56,participant13,2,0
0:06:00,participant13,2,0
0:06:01,participant13,2,0
0:06:07,participant13,2,0
0:06:08,participant13,2,0
